Product ID,Product Name,Category,Material,Size,Special_features,Customer Type,Price,Payment Type,Sellable Online,Sales Volume,Return Rate,Storage Cost,Seasonality Score,Implicit Feedback
65,Outdoor Patio Chair,Outdoor Furniture,Metal,Small,Smart,Normal,1297.5,debit card,1,975,14.11,121.58,9,Positive
66,King Size Bed Frame,Bedroom Furniture,Wood,Medium,Smart,Member,4560.88,credit card,1,998,4.05,60.47,4,Negative
67,Compact Shoe Rack,Storage & Organization,Plastic,Large,Smart,Normal,2560.22,cash on delivery,0,684,1.37,40.86,4,Positive
68,Smart Office Desk,Tables,Wood,Large,Minimalist,Normal,1426.0,credit card,0,933,18.21,91.08,5,Neutral
69,Upholstered armchair,Sofas & Seating,Plastic,Medium,Foldable,Normal,4908.38,debit card,0,702,1.83,34.33,3,Neutral
70,Large Wooden Dresser,Bedroom Furniture,Wood,Medium,Foldable,Normal,779.14,credit card,0,205,5.03,165.05,10,Neutral
71,King Size Bed Frame,Bedroom Furniture,Wood,Small,Smart,Normal,4326.24,credit card,1,262,3.55,36.24,1,Negative
72,Garden Lounge Bench,Outdoor Furniture,Wood,Medium,Foldable,Normal,2124.17,credit card,0,276,4.75,197.71,9,Negative
73,6-Piece Outdoor Dining Set,Outdoor Furniture,Wood,Small,Minimalist,Normal,4002.24,debit card,1,938,1.39,65.29,10,Positive
74,Padded Dining Chair,Kitchen & Dining,Fabric,Small,Ergonomic,Member,1675.74,cash on delivery,0,157,8.03,60.41,2,Positive
75,Industrial Console Table,Tables,Metal,Medium,Foldable,Normal,1290.28,debit card,1,877,0.92,135.45,10,Neutral
76,Expandable Kitchen Island,Kitchen & Dining,Wood,Large,Foldable,Normal,2519.22,debit card,1,91,17.51,97.55,3,Neutral
77,Smart Office Desk,Tables,Wood,Small,Foldable,Member,3172.52,credit card,1,949,18.06,157.56,9,Negative
78,Minimalist Sectional Sofa,Sofas & Seating,Fabric,Large,Smart,Member,3746.73,debit card,0,840,8.07,131.96,7,Neutral
79,Large Wooden Dresser,Bedroom Furniture,Wood,Small,Smart,Normal,3246.0,cash on delivery,1,467,2.71,60.59,6,Neutral
80,Padded Dining Chair,Kitchen & Dining,Fabric,Medium,Minimalist,Member,1814.65,cash on delivery,0,261,10.37,180.91,8,Negative
81,Adjustable Bar Stool,Kitchen & Dining,Metal,Large,Durable,Member,4001.65,cash on delivery,1,423,19.22,44.56,5,Negative
82,King Size Bed Frame,Bedroom Furniture,Wood,Large,Smart,Member,1537.38,debit card,1,408,15.23,135.85,5,Positive
83,Sliding Door Wardrobe,Storage & Organization,Wood,Small,Durable,Normal,3421.92,credit card,1,987,9.9,75.09,5,Positive
84,Glass Dining Table,Tables,Glass,Medium,Foldable,Member,1610.32,credit card,1,498,7.66,188.79,3,Neutral
85,Adjustable Bar Stool,Kitchen & Dining,Metal,Large,Smart,Normal,2311.4,debit card,0,804,0.4,121.09,5,Positive
86,Upholstered armchair,Sofas & Seating,Plastic,Small,Smart,Member,1247.09,debit card,1,418,12.48,143.49,6,Neutral
87,Classic Nightstand,Bedroom Furniture,Wood,Small,Smart,Member,3678.98,cash on delivery,0,659,9.51,172.61,6,Neutral
88,Queen Bed with Storage,Bedroom Furniture,Wood,Medium,Durable,Normal,2722.02,debit card,0,245,6.94,53.52,3,Positive
89,Chaise Sofas,Sofas & Seating,Fabric,Medium,Smart,Normal,1476.46,debit card,1,535,15.3,161.68,7,Negative
90,Bistro Tables,Tables,Unknown,Medium,Smart,Member,930.85,credit card,1,180,17.05,173.86,3,Neutral
91,Queen Bed with Storage,Bedroom Furniture,Wood,Medium,Ergonomic,Normal,3307.32,credit card,0,806,18.52,124.33,6,Negative
92,Open Closet Organizer,Bedroom Furniture,Plastic,Small,Foldable,Member,4528.01,cash on delivery,0,727,3.34,62.61,3,Negative
93,6-Piece Outdoor Dining Set,Outdoor Furniture,Wood,Medium,Smart,Normal,3969.64,cash on delivery,1,355,3.26,10.07,8,Negative
94,Upholstered armchair,Sofas & Seating,Plastic,Small,Waterproof,Normal,4138.01,debit card,0,637,10.48,196.87,6,Negative
95,Modern TV Cabinet,Storage & Organization,Wood,Small,Durable,Normal,2994.3,cash on delivery,1,498,18.65,184.43,4,Positive
96,Kitchen Pantry Shelf,Kitchen & Dining,Wood,Large,Ergonomic,Member,2129.87,credit card,1,219,19.09,131.49,10,Neutral
97,Garden Lounge Bench,Outdoor Furniture,Wood,Medium,Waterproof,Member,3011.1,credit card,1,806,7.79,144.57,10,Positive
98,Queen Bed with Storage,Bedroom Furniture,Wood,Medium,Minimalist,Member,999.36,credit card,0,71,17.95,149.06,8,Positive
99,Compact Shoe Rack,Storage & Organization,Plastic,Small,Durable,Normal,3186.13,cash on delivery,1,749,2.73,116.02,5,Positive
100,Large Wooden Dresser,Bedroom Furniture,Wood,Small,Durable,Member,1051.12,cash on delivery,1,45,13.14,161.38,8,Neutral
